Epoch	Time (s)	Breakbeam	Capacitor (V)	Battery (V)	Board Temperature (°C)	LPS	Encoder 0 (¼°/t)	Encoder 1 (¼°/t)	Encoder 2 (¼°/t)	Encoder 3 (¼°/t)	Setpoint 0	Setpoint 1	Setpoint 2	Setpoint 3	Motor 0 (/255)	Motor 1 (/255)	Motor 2 (/255)	Motor 3 (/255)	Motor 0 (°C)	Motor 1 (°C)	Motor 2 (°C)	Motor 3 (°C)	Dribbler (rpm)	Dribbler (°C)	CPU (%)
60	0.336341	56	15.9943	16.6175	28.1769	1	-1	1	-2	1	0	0	0	0	0	0	0	0	40	40	40	40	0	40	0
60	0.341346	56	15.9943	16.6175	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94329
60	0.346361	55	15.9943	16.585	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.78085
60	0.351366	56	15.9943	16.585	28.1769	1	0	0	0	-1	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94329
60	0.356375	56	15.9943	16.6175	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.00665
60	0.36138	56	15.9943	16.585	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.96577
60	0.366394	56	15.9943	16.6175	28.4202	1	0	0	0	1	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.78085
60	0.371445	56	15.9943	16.6175	28.1769	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.90726
60	0.376404	55	15.9943	16.6175	28.1769	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.97789
60	0.381409	55	15.9943	16.585	28.4202	1	0	0	1	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.96577
60	0.386424	55	15.9943	16.585	28.4202	1	0	0	0	1	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.78085
60	0.391428	55	15.9943	16.585	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94329
60	0.396437	55	15.9943	16.6175	28.4202	1	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.00665
60	0.401442	55	15.9943	16.585	28.1769	1	0	0	1	1	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.96577
